Disease Name,Overview Link,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17,Symptom 18,Symptom 19,symptom 20,symptom 21
Amyloidosis,https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178,Severe fatigue and weakness,Shortness of breath,Numbness tingling or pain in the hands or feet,Swelling of the ankles and legs,Diarrhea possibly with blood or constipation,Unintentional significant weight loss,Irregular heartbeat,Enlarged tongue,Skin changes such as easy bruising purplish patches around the eyes,Dizziness or lightheadedness due to low blood pressure when standing up,,,,,,,,,,,
Amyotrophic Lateral Sclerosis (ALS),https://www.mayoclinic.org/diseases-conditions/amyotrophic-lateral-sclerosis/symptoms-causes/syc-20354022,Difficulty walking or doing normal daily activities,Tripping and falling,Weakness in your legs feet or ankles,Hand weakness or clumsiness,Slurred speech or trouble swallowing,Muscle cramps and twitching in your arms shoulders and tongue,Difficulty holding your head up or keeping a good posture,,,,,,,,,,,,,,
Anaphylaxis,https://www.mayoclinic.org/diseases-conditions/anaphylaxis/symptoms-causes/syc-20351468,Skin reactions such as hives itching and flushed or pale skin,Low blood pressure (hypotension),Constriction of the airways and a swollen tongue or throat which can cause wheezing and trouble breathing,A weak and rapid pulse,Nausea vomiting or diarrhea,Dizziness fainting or unconsciousness,,,,,,,,,,,,,,,
Anemia,https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360,Fatigue,Weakness,Pale or yellowish skin,Irregular heartbeats,Shortness of breath,Dizziness or lightheadedness,Chest pain,Cold hands and feet,Headaches,,,,,,,,,,,,
Aneurysm,https://www.mayoclinic.org/diseases-conditions/aneurysms/symptoms-causes/syc-20354633,Deep constant pain in your abdomen or on the side of your abdomen,Back pain,A pulse near your bellybutton,Tenderness or pain in the chest,Hoarseness,Coughing or difficulty breathing,Severe headache,Nausea and vomiting,Stiff neck,Blurred or double vision,Sensitivity to light,Seizure,Loss of consciousness,A drooping eyelid,Pain above and behind one eye,A dilated pupil,,,,,
Angina,https://www.mayoclinic.org/diseases-conditions/angina/symptoms-causes/syc-20369373,Chest pain or discomfort,Pain in your arms neck jaw shoulder or back,Nausea,Fatigue,Shortness of breath,Sweating,Dizziness,,,,,,,,,,,,,,
Ankylosing Spondylitis,https://www.mayoclinic.org/diseases-conditions/ankylosing-spondylitis/symptoms-causes/syc-20354808,Pain and stiffness in the lower back and hips especially in the morning and after periods of inactivity,Neck pain,Fatigue,Reduced flexibility in the spine over time which can result in a hunched-forward posture,Pain and swelling in other parts of the body such as shoulders knees and ankles,,,,,,,,,,,,,,,,
Anorexia Nervosa,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591,Extremely restricted eating,Extreme thinness (emaciation),A relentless pursuit of thinness and unwillingness to maintain a normal or healthy weight,Intense fear of gaining weight,Distorted body image a self-esteem that is heavily influenced by perceptions of body weight and shape or a denial of the seriousness of low body weight,,,,,,,,,,,,,,,,
Anxiety Disorders,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961,Feeling nervous restless or tense,Having a sense of impending danger panic or doom,Increased heart rate,Breathing rapidly (hyperventilation),Sweating,Trembling,Feeling weak or tired,Trouble concentrating or thinking about anything other than the present worry,,,,,,,,,,,,,
Aortic Aneurysm,https://www.mayoclinic.org/diseases-conditions/aortic-aneurysm/symptoms-causes/syc-20369472,Chest pain or back pain,Difficulty breathing,Coughing,Hoarseness,Difficulty swallowing,,,,,,,,,,,,,,,,
Aortic Dissection,https://www.mayoclinic.org/diseases-conditions/aortic-dissection/symptoms-causes/syc-20369496,Sudden severe chest or upper back pain often described as a tearing ripping or shearing sensation that radiates to the neck or down the back,Sudden severe abdominal pain,Loss of consciousness,Shortness of breath,Sudden difficulty speaking loss of vision weakness or paralysis of one side of your body similar to those of a stroke,Weak pulse in one arm or thigh compared with the other,Leg pain,Difficulty walking,,,,,,,,,,,,,
Appendicitis,https://www.mayoclinic.org/diseases-conditions/appendicitis/symptoms-causes/syc-20369543,Sudden pain that begins on the right side of the lower abdomen,Sudden pain that begins around your navel and often shifts to your lower right abdomen,Pain that worsens if you cough walk or make other jarring movements,Nausea and vomiting,Loss of appetite,Low-grade fever that may worsen as the illness progresses,Constipation or diarrhea,Abdominal bloating,,,,,,,,,,,,,
Arrhythmia,https://www.mayoclinic.org/diseases-conditions/heart-arrhythmia/symptoms-causes/syc-20350668,A fluttering pounding or racing feeling in the chest,A fast heartbeat,A slow heartbeat,Chest pain,Shortness of breath,Anxiety,Feeling very tired,Lightheadedness or dizziness,Sweating,Fainting or almost fainting,,,,,,,,,,,
Arthritis,https://www.mayoclinic.org/diseases-conditions/arthritis/symptoms-causes/syc-20350772,Pain,Stiffness,Swelling,Redness,Decreased range of motion,,,,,,,,,,,,,,,,
Asbestosis,https://www.mayoclinic.org/diseases-conditions/asbestosis/symptoms-causes/syc-20354637,Shortness of breath,Persistent dry cough,Loss of appetite with weight loss,Fingertips and toes that appear wider and rounder than normal (clubbing),Chest tightness or pain,,,,,,,,,,,,,,,,
Asthma,https://www.mayoclinic.org/diseases-conditions/asthma/symptoms-causes/syc-20369653,Shortness of breath,Chest tightness or pain,Wheezing when exhaling,Trouble sleeping caused by shortness of breath coughing or wheezing,Coughing or wheezing attacks that are worsened by a respiratory virus such as a cold or the flu,,,,,,,,,,,,,,,,
Atherosclerosis,https://www.mayoclinic.org/diseases-conditions/arteriosclerosis-atherosclerosis/symptoms-causes/syc-20350569,Chest pain or angina,Pain in the leg arm and anywhere else that has a blocked artery,Shortness of breath,Fatigue,Confusion which occurs if the blockage affects circulation to the brain,Muscle weakness in the legs from lack of circulation,,,,,,,,,,,,,,,
Atrial Fibrillation,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624,Palpitations which are sensations of a fast fluttering or pounding heartbeat,Weakness,Reduced ability to exercise,Fatigue,Lightheadedness,Dizziness,Shortness of breath,Chest pain,,,,,,,,,,,,,
Autism Spectrum Disorder,https://www.mayoclinic.org/diseases-conditions/autism-spectrum-disorder/symptoms-causes/syc-20352928,Not responding to their name,Resisting cuddling and holding and seems to prefer playing alone retreating into their own world,Having poor eye contact and lacks facial expression,Not speaking or has delayed speech or loses previous ability to say words or sentences,Can't start a conversation or keep one going or only starts one to make requests or label items,Speaks with an abnormal tone or rhythm and may use a singsong voice or robot-like speech,Repeating words or phrases verbatim but doesn't understand how to use them,Inappropriately approaches a social interaction by being passive aggressive or disruptive,Has trouble recognizing nonverbal cues such as interpreting other people's facial expressions body postures or tone of voice,,,,,,,,,,,,
Autoimmune Hepatitis,https://www.mayoclinic.org/diseases-conditions/autoimmune-hepatitis/symptoms-causes/syc-20352153,Fatigue,Abdominal discomfort,Joint pain,Yellowing of the skin and eyes (jaundice),An enlarged liver,Abnormal blood vessels on the skin (spider angiomas),Skin rashes,Loss of menstrual periods,Loss of appetite,Nausea and vomiting,,,,,,,,,,,
Back Pain,https://www.mayoclinic.org/diseases-conditions/back-pain/symptoms-causes/syc-20369906,Muscle ache,Shooting or stabbing pain,Pain that radiates down your leg,Pain that worsens with bending lifting standing or walking,Pain that improves with reclining,,,,,,,,,,,,,,,,
Bacterial Vaginosis,https://www.mayoclinic.org/diseases-conditions/bacterial-vaginosis/symptoms-causes/syc-20352279,Thin gray white or green vaginal discharge,Foul-smelling 'fishy' vaginal odor,Vaginal itching,Burning during urination,,,,,,,,,,,,,,,,,
Bell's Palsy,https://www.mayoclinic.org/diseases-conditions/bells-palsy/symptoms-causes/syc-20370028,Rapid onset of mild weakness to total paralysis on one side of your face,Facial droop and difficulty making facial expressions such as closing your eye or smiling,Drooling,Pain around the jaw or in or behind your ear on the affected side,Increased sensitivity to sound on the affected side,Headache,Loss of taste,Changes in the amount of tears and saliva you produce,,,,,,,,,,,,,
Benign Prostatic Hyperplasia (BPH),https://www.mayoclinic.org/diseases-conditions/benign-prostatic-hyperplasia/symptoms-causes/syc-20370087,Frequent or urgent need to urinate,Increased frequency of urination at night (nocturia),Difficulty starting urination,Weak urine stream or a stream that stops and starts,Dribbling at the end of urination,Inability to completely empty the bladder,,,,,,,,,,,,,,,
Bipolar Disorder,https://www.mayoclinic.org/diseases-conditions/bipolar-disorder/symptoms-causes/syc-20355955,Mood swings,Manic episodes,Depressive episodes,Impulsiveness,Risk-taking behaviors,Increased activity or energy,Decreased need for sleep,Racing thoughts,Poor decision-making,,,,,,,,,,,,
Bladder Cancer,https://www.mayoclinic.org/diseases-conditions/bladder-cancer/symptoms-causes/syc-20356104,Blood in urine (hematuria),Frequent urination,Painful urination,Back pain,Pelvic pain,,,,,,,,,,,,,,,,
Bone Cancer,https://www.mayoclinic.org/diseases-conditions/bone-cancer/symptoms-causes/syc-20350217,Bone pain,Swelling and tenderness near the affected area,Broken bone,Fatigue,Unintended weight loss,,,,,,,,,,,,,,,,
Brain Aneurysm,https://www.mayoclinic.org/diseases-conditions/brain-aneurysm/symptoms-causes/syc-20361483,Pain above and behind one eye,A dilated pupil,Change in vision or double vision,Numbness of one side of the face,Sudden extremely severe headache,Nausea,Vomiting,Stiff neck,Blurred or double vision,Sensitivity to light,Seizure,A drooping eyelid,Loss of consciousness,Confusion,,,,,,,
Breast Cancer,https://www.mayoclinic.org/diseases-conditions/breast-cancer/symptoms-causes/syc-20352470,A breast lump or thickening that feels different from the surrounding tissue,Change in the size shape or appearance of a breast,Changes to the skin over the breast such as dimpling,A newly inverted nipple,Peeling scaling crusting or flaking of the pigmented area of skin surrounding the nipple (areola) or breast skin,Redness or pitting of the skin over your breast like the skin of an orange,,,,,,,,,,,,,,,
Bronchitis,https://www.mayoclinic.org/diseases-conditions/bronchitis/symptoms-causes/syc-20355566,Cough,Production of mucus (sputum) which can be clear white yellowish-gray or green in color â€” rarely it may be streaked with blood,Fatigue,Shortness of breath,Slight fever and chills,Chest discomfort,,,,,,,,,,,,,,,
Bulimia nervosa,https://www.mayoclinic.org/diseases-conditions/bulimia/symptoms-causes/syc-20353615,Living in fear of gaining weight and trying to lose weight in unhealthy ways,Repeatedly eating unusually large amounts of food in one sitting,Feeling a loss of control during binge eating You may feel like you can't stop eating or can't control what you eat,Vomiting on purpose or exercising to extremes after binge eating so that you don't gain weight,Using medicines that make you urinate called water pills or diuretics or laxatives or enemas to pass stool when they're not needed,Fasting limiting calories or not eating certain foods between binges,Using dietary supplements or herbal products for weight loss These products can be dangerous,Being very unhappy with your body shape and weight,Letting your body shape and weight guide how you feel about yourself and your worth,Having extreme mood swings,,,,,,,,,,,
Cancer,https://www.mayoclinic.org/diseases-conditions/cancer/symptoms-causes/syc-20370588,Fatigue,Lump or area of thickening that can be felt under the skin,Weight changes including unintended loss or gain,Skin changes such as yellowing darkening or redness of the skin sores that won't heal or changes to existing moles,Changes in bowel or bladder habits,Persistent cough or trouble breathing,Difficulty swallowing,Hoarseness,Persistent indigestion or discomfort after eating,Persistent unexplained muscle or joint pain,Persistent unexplained fevers or night sweats,Unexplained bleeding or bruising,,,,,,,,,
Cataracts,https://www.mayoclinic.org/diseases-conditions/cataracts/symptoms-causes/syc-20353790,Clouded blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare,Need for brighter light for reading and other activities,"Seeing ""halos"" around lights",Frequent changes in eyeglass or contact lens prescription,Fading or yellowing of colors,Double vision in a single eye,,,,,,,,,,,,,
Celiac Disease,https://www.mayoclinic.org/diseases-conditions/celiac-disease/symptoms-causes/syc-20352220,Diarrhea,Fatigue,Weight loss,Bloating and gas,Abdominal pain,Nausea and vomiting,Constipation,,,,,,,,,,,,,,
Cerebral Palsy,https://www.mayoclinic.org/diseases-conditions/cerebral-palsy/symptoms-causes/syc-20353999,Variations in muscle tone such as being too stiff or too floppy,Stiff muscles and exaggerated reflexes (spasticity),Stiff muscles with normal reflexes (rigidity),Lack of muscle coordination (ataxia),Tremors or involuntary movements,Slow writhing movements (athetosis),Delays in reaching motor skills milestones such as pushing up on arms sitting up or crawling,Favoring one side of the body such as reaching with one hand or dragging a leg while crawling,Difficulty walking such as walking on toes a crouched gait or a scissors-like gait with knees crossing,Excessive drooling or problems with swallowing,Difficulty with sucking or eating,Delays in speech development or difficulty speaking,Learning difficulties,Difficulty with precise motions such as picking up a crayon or spoon,,,,,,,
Chickenpox,https://www.mayoclinic.org/diseases-conditions/chickenpox/symptoms-causes/syc-20351614,Fever,Loss of appetite,Headache,Tiredness and a general feeling of being unwell,Raised pink or red bumps (papules),Small fluid-filled blisters (vesicles),Crusts and scabs,,,,,,,,,,,,,,
Chilblains,https://www.mayoclinic.org/diseases-conditions/chilblains/symptoms-causes/syc-20351097,Small itchy areas on your skin often on your feet or hands,Sores or blistering,Swelling,Pain or stinging,Changes in skin color,,,,,,,,,,,,,,,,
Chronic Bronchitis,https://www.mayoclinic.org/diseases-conditions/bronchitis/symptoms-causes/syc-20355566,Cough,Production of mucus (sputum) which can be clear white yellowish-gray or green,Fatigue,Shortness of breath,Slight fever and chills,Chest discomfort,,,,,,,,,,,,,,,
Chronic Fatigue Syndrome,https://www.mayoclinic.org/diseases-conditions/chronic-fatigue-syndrome/symptoms-causes/syc-20360490,Fatigue,Loss of memory or concentration,Sore throat,Enlarged lymph nodes in your neck or armpits,Unexplained muscle or joint pain,Headaches,Unrefreshing sleep,Extreme exhaustion after physical or mental exercise,,,,,,,,,,,,,
Chronic Kidney Disease,https://www.mayoclinic.org/diseases-conditions/chronic-kidney-disease/symptoms-causes/syc-20354521,Nausea,Vomiting,Loss of appetite,Fatigue and weakness,Sleep problems,Changes in how much you urinate,Decreased mental sharpness,Muscle twitches and cramps,Swelling of feet and ankles,Persistent itching,Chest pain if fluid builds up around the lining of the heart,Shortness of breath if fluid builds up in the lungs,High blood pressure (hypertension) that's difficult to control,,,,,,,,
Chronic Obstructive Pulmonary Disease (COPD),https://www.mayoclinic.org/diseases-conditions/copd/symptoms-causes/syc-20353679,Shortness of breath especially during physical activities,Wheezing,Chest tightness,A chronic cough that may produce mucus (sputum) that may be clear white yellow or greenish,Frequent respiratory infections,Lack of energy,Unintended weight loss (in later stages),Swelling in ankles feet or legs,,,,,,,,,,,,,
Cirrhosis,https://www.mayoclinic.org/diseases-conditions/cirrhosis/symptoms-causes/syc-20351487,Fatigue,Easily bleeding or bruising,Loss of appetite,Nausea,Swelling in your legs feet or ankles (edema),Weight loss,Itchy skin,Yellow discoloration in your skin and eyes (jaundice),Fluid accumulation in your abdomen (ascites),Spiderlike blood vessels on your skin,Redness in the palms of your hands,For women absent or loss of periods not related to menopause,For men loss of sex drive breast enlargement (gynecomastia) or testicular atrophy,Confusion drowsiness and slurred speech (hepatic encephalopathy),,,,,,,
Colon Cancer,https://www.mayoclinic.org/diseases-conditions/colon-cancer/symptoms-causes/syc-20353669,A persistent change in your bowel habits including diarrhea or constipation or a change in the consistency of your stool,Rectal bleeding or blood in your stool,Persistent abdominal discomfort such as cramps gas or pain,A feeling that your bowel doesn't empty completely,Weakness or fatigue,Unexplained weight loss,,,,,,,,,,,,,,,
Colorectal Cancer,https://www.mayoclinic.org/diseases-conditions/colorectal-cancer/symptoms-causes/syc-20352884,A persistent change in bowel habits including diarrhea or constipation or a change in the consistency of your stool,Rectal bleeding or blood in your stool,Persistent abdominal discomfort such as cramps gas or pain,A feeling that your bowel doesn't empty completely,Weakness or fatigue,Unexplained weight loss,,,,,,,,,,,,,,,
Coronary Artery Disease,https://www.mayoclinic.org/diseases-conditions/coronary-artery-disease/symptoms-causes/syc-20350613,Chest pain (angina),Shortness of breath,Heart attack,,,,,,,,,,,,,,,,,,
COVID-19,https://www.mayoclinic.org/diseases-conditions/coronavirus/symptoms-causes/syc-20479963,Fever or chills,Cough,Shortness of breath or difficulty breathing,Fatigue,Muscle or body aches,Headache,New loss of taste or smell,Sore throat,Congestion or runny nose,Nausea or vomiting,Diarrhea,,,,,,,,,,
Crohn's Disease,https://www.mayoclinic.org/diseases-conditions/crohns-disease/symptoms-causes/syc-20353304,Diarrhea,Fever,Fatigue,Abdominal pain and cramping,Blood in your stool,Mouth sores,Reduced appetite and weight loss,Pain or drainage near or around the anus due to inflammation from a tunnel into the skin (fistula),,,,,,,,,,,,,
Cushing Syndrome,https://www.mayoclinic.org/diseases-conditions/cushing-syndrome/symptoms-causes/syc-20351310,Weight gain and fatty tissue deposits particularly around the midsection and upper back in the face (moon face) and between the shoulders (buffalo hump),Pink or purple stretch marks (striae) on the skin of the abdomen thighs breasts and arms,Thinning fragile skin that bruises easily,Slow healing of cuts insect bites and infections,Acne,Fatigue,Muscle weakness,Depression anxiety and irritability,Loss of emotional control,Cognitive difficulties,New or worsened high blood pressure,Glucose intolerance that may lead to diabetes,Headache,Bone loss leading to fractures over time,,,,,,,
Cystic Fibrosis,https://www.mayoclinic.org/diseases-conditions/cystic-fibrosis/symptoms-causes/syc-20353700,A persistent cough that produces thick mucus (sputum),Wheezing,Breathlessness,Exercise intolerance,Repeated lung infections,Inflamed nasal passages or a stuffy nose,Foul-smelling greasy stools,Poor weight gain and growth,Intestinal blockage particularly in newborns (meconium ileus),Severe constipation,,,,,,,,,,,
Cytomegalovirus (CMV) Infection,https://www.mayoclinic.org/diseases-conditions/cmv-infection/symptoms-causes/syc-20355358,Fatigue,Fever,Sore throat,Muscle aches,Vision loss due to retinitis,Digestive system issues like colitis esophagitis and hepatitis,Nervous system issues like encephalitis,Pneumonia,Premature birth,Low birth weight,Yellow skin and eyes (jaundice),Enlarged and poorly functioning liver,Purple skin splotches or rash,Seizures,Hearing loss,Intellectual disabilities,Vision problems,Lack of coordination,Weakness or issues using muscles,,
Dandruff,https://www.mayoclinic.org/diseases-conditions/dandruff/symptoms-causes/syc-20353850,Skin flakes on your scalp hair eyebrows beard or mustache and shoulders,Itchy scalp,Scaly crusty scalp in infants with cradle cap,,,,,,,,,,,,,,,,,,
Degenerative disk disease,,Pain that worsens when sitting,Pain that gets worse when bending lifting or twisting,Feeling better while walking or even running than while sitting or standing for long periods,Feeling better when changing positions often or lying down,Periods of severe pain that come and go lasting from a few days to a few months,Numbness and tingling in the extremities,Muscle weakness,,,,,,,,,,,,,,
Dehydration,https://www.mayoclinic.org/diseases-conditions/dehydration/symptoms-causes/syc-20354086,Extreme thirst,Less frequent urination,Dark-colored urine,Fatigue,Dizziness,Confusion,Dry mouth and skin,Rapid heartbeat,Rapid breathing,Sunken eyes,Shriveled and dry skin that lacks elasticity and doesn't bounce back when pinched into a fold,Low blood pressure,Fever,In severe cases delirium or unconsciousness,,,,,,,
Delirium,https://www.mayoclinic.org/diseases-conditions/delirium/symptoms-causes/syc-20371386,Reduced awareness of the environment,Inability to stay focused on a topic or switching topics,Getting stuck on an idea rather than responding to questions or conversation,Being easily distracted by unimportant things,Being withdrawn with little or no activity or little response to the environment,Poor memory particularly of recent events,Disorientation such as not knowing where one is or who one is,Difficulty speaking or recalling words,Rambling or nonsense speech,Trouble understanding speech,Difficulty reading or writing,Seeing things that don't exist (hallucinations),Restlessness agitation or combative behavior,Calling out moaning or making other sounds,Being quiet and withdrawn especially in older adults,Slowed movement or lethargy,Disturbed sleep habits,Reversal of night-day sleep-wake cycle,,,
Dengue fever,https://www.mayoclinic.org/diseases-conditions/dengue-fever/symptoms-causes/syc-20353078,Sudden high fever,Severe headaches,Pain behind the eyes,Severe joint and muscle pain,,,,,,,,,,,,,,,,,
Depression,https://www.mayoclinic.org/diseases-conditions/depression/symptoms-causes/syc-20356007,Feelings of sadness tearfulness emptiness or hopelessness,Angry outbursts irritability or frustration even over small matters,Loss of interest or pleasure in most or all normal activities,Sleep disturbances including insomnia or sleeping too much,Tiredness and lack of energy,Reduced appetite and weight loss or increased cravings for food and weight gain,Anxiety agitation or restlessness,Slowed thinking speaking or body movements,Feelings of worthlessness or guilt,Trouble thinking concentrating making decisions and remembering things,Frequent or recurrent thoughts of death suicidal thoughts suicide attempts or suicide,Unexplained physical problems such as back pain or headaches,,,,,,,,,
Diabetes,https://www.mayoclinic.org/diseases-conditions/diabetes/symptoms-causes/syc-20371444,Increased thirst,Frequent urination,Extreme hunger,Unexplained weight loss,Presence of ketones in the urine (ketones are a byproduct of the breakdown of muscle and fat that happens when there's not enough available insulin),Fatigue,Irritability,Blurred vision,Slow-healing sores,Frequent infections such as gums or skin infections and vaginal infections,,,,,,,,,,,
Diabetes insipidus,https://www.mayoclinic.org/diseases-conditions/diabetes-insipidus/symptoms-causes/syc-20351269,Extreme thirst,Excretion of an excessive amount of diluted urine,Frequent need to get up to urinate during the night,Preference for cold drinks,Bed-wetting,,,,,,,,,,,,,,,,
Diphtheria,https://www.mayoclinic.org/diseases-conditions/diphtheria/symptoms-causes/syc-20351897,Thick gray membrane covering the throat and tonsils,Sore throat and hoarseness,Swollen glands (enlarged lymph nodes) in the neck,Difficulty breathing or rapid breathing,Nasal discharge,Fever and chills,Malaise,,,,,,,,,,,,,,
Diverticulitis,https://www.mayoclinic.org/diseases-conditions/diverticulitis/symptoms-causes/syc-20371758,Pain which may be constant and persist for several days The lower left side of the abdomen is the usual site of the pain,Nausea and vomiting,Fever,Abdominal tenderness,Constipation or less commonly diarrhea,,,,,,,,,,,,,,,,
Dupuytren contracture,https://www.mayoclinic.org/diseases-conditions/dupuytren-contracture/symptoms-causes/syc-20371943,Nodules in the palm of the hand,Thickened cord in the palm,Fingers that are pulled toward the palm,Reduced hand function,,,,,,,,,,,,,,,,,
Dyslexia,https://www.mayoclinic.org/diseases-conditions/dyslexia/symptoms-causes/syc-20353552,Late talking,Learning new words slowly,Problems forming words correctly such as reversing sounds in words or confusing words that sound alike,Problems remembering or naming letters numbers and colors,Difficulty learning nursery rhymes or playing rhyming games,Reading well below the expected level for age,Problems processing and understanding what they hear,Difficulty finding the right word or forming answers to questions,Problems remembering the sequence of things,Difficulty seeing (and occasionally hearing) similarities and differences in letters and words,Inability to sound out the pronunciation of an unfamiliar word,Difficulty spelling,Avoiding activities that involve reading,,,,,,,,
E. coli infection,https://www.mayoclinic.org/diseases-conditions/e-coli/symptoms-causes/syc-20372058,Diarrhea which may range from mild and watery to severe and bloody,Stomach cramping pain or tenderness,Nausea and vomiting,Occasional fever,,,,,,,,,,,,,,,,,
Ear Infection (Middle Ear),https://www.mayoclinic.org/diseases-conditions/ear-infections/symptoms-causes/syc-20351616,Ear pain especially when lying down,Tugging or pulling at an ear,Trouble sleeping,Crying more than usual,Fussiness,Trouble hearing or responding to sounds,Loss of balance,Fever of 100 F (38 C) or higher,Drainage of fluid from the ear,Headache,Loss of appetite,,,,,,,,,,
Ebola virus and Marburg virus,,Fever,Severe headache,Muscle pain,Weakness,Fatigue,Diarrhea,Vomiting,Abdominal (stomach) pain,Unexplained hemorrhaging (bleeding or bruising),,,,,,,,,,,,
Echinococcosis (?),,Pain or discomfort in the upper abdomen,Nausea,Vomiting,Chronic cough,Chest pain,Difficulty breathing,,,,,,,,,,,,,,,
Ectropion,https://www.mayoclinic.org/diseases-conditions/ectropion/symptoms-causes/syc-20351164,Watery eyes (excessive tearing),Dry painful eyes,Eyelid turning outward,Irritation,Sensitivity to light and wind,Sagging skin around the eyes,Redness of the eyelid,,,,,,,,,,,,,,
Eczema,https://www.mayoclinic.org/diseases-conditions/eczema/symptoms-causes/syc-20353279,Dry cracked skin,Itchiness (pruritus),Rash on swollen skin that varies in color depending on your skin color,Small raised bumps on brown or Black skin,Oozing and crusting,Thickened skin,Raw sensitive skin from scratching,,,,,,,,,,,,,,
Edema,https://www.mayoclinic.org/diseases-conditions/edema/symptoms-causes/syc-20366493,Swelling or puffiness of the tissue right under the skin especially in legs or arms,Stretched or shiny skin,Skin that holds a dimple also known as pitting after it's been pressed for a few seconds,Swelling of the belly also called the abdomen so that it's bigger than usual,Leg pain or swelling,,,,,,,,,,,,,,,,
